Participant,Session,List,Task,Word,Time,Score
6,1,A,Adaptive,cotire,Retention,0
6,1,A,Adaptive,sutire,Retention,0
6,1,A,Adaptive,socuo,Retention,0
6,1,A,Adaptive,socuti,Retention,0
6,1,A,Adaptive,socule,Retention,1
6,1,A,Adaptive,soiata,Retention,0
6,1,A,Adaptive,sorta,Retention,1
6,1,A,Adaptive,soetta,Retention,1
6,1,A,Adaptive,ficuta,Retention,1
6,1,A,Adaptive,scuta,Retention,0
6,1,A,Adaptive,pecuta,Retention,0
6,1,A,Adaptive,anbera,Retention,0
6,1,A,Adaptive,anbetu,Retention,0
6,1,A,Adaptive,anbesi,Retention,0
6,1,A,Adaptive,ancano,Retention,0
6,1,A,Adaptive,andono,Retention,0
6,1,A,Adaptive,anuino,Retention,1
6,1,A,Adaptive,rebeno,Retention,0
6,1,A,Adaptive,sibeno,Retention,0
6,1,A,Adaptive,cubeno,Retention,1
6,2,B,Static,chareka,Immediate,0
6,2,B,Static,charezo,Immediate,1
6,2,B,Static,charete,Immediate,1
6,2,B,Static,chauri,Immediate,1
6,2,B,Static,chakori,Immediate,1
6,2,B,Static,chamari,Immediate,1
6,2,B,Static,lireri,Immediate,1
6,2,B,Static,moreri,Immediate,1
6,2,B,Static,apreri,Immediate,1
6,2,B,Static,fiante,Immediate,1
6,2,B,Static,fiani,Immediate,0
6,2,B,Static,fianca,Immediate,0
6,2,B,Static,fipito,Immediate,1
6,2,B,Static,fiato,Immediate,0
6,2,B,Static,fimuto,Immediate,1
6,2,B,Static,canto,Immediate,1
6,2,B,Static,esanto,Immediate,1
6,2,B,Static,peanto,Immediate,1
6,2,B,Static,estome,Immediate,1
6,2,B,Static,estowa,Immediate,1
6,2,B,Static,estosi,Immediate,1
6,2,B,Static,esperu,Immediate,1
6,2,B,Static,escaru,Immediate,0
6,2,B,Static,esturu,Immediate,0
6,2,B,Static,imtoru,Immediate,0
6,2,B,Static,netoru,Immediate,1
6,2,B,Static,rotoru,Immediate,1
6,2,B,Static,chareka,Retention,0
6,2,B,Static,charezo,Retention,0
6,2,B,Static,charete,Retention,1
6,2,B,Static,chauri,Retention,1
6,2,B,Static,chakori,Retention,1
6,2,B,Static,chamari,Retention,1
6,2,B,Static,lireri,Retention,0
6,2,B,Static,moreri,Retention,1
6,2,B,Static,apreri,Retention,1
6,2,B,Static,fiante,Retention,0
6,2,B,Static,fiani,Retention,0
6,2,B,Static,fianca,Retention,0
6,2,B,Static,fipito,Retention,1
6,2,B,Static,fiato,Retention,0
6,2,B,Static,fimuto,Retention,1
6,2,B,Static,canto,Retention,1
6,2,B,Static,esanto,Retention,0
6,2,B,Static,peanto,Retention,1
6,2,B,Static,estome,Retention,1
6,2,B,Static,estowa,Retention,1
6,2,B,Static,estosi,Retention,1
6,2,B,Static,esperu,Retention,0
6,2,B,Static,escaru,Retention,0
6,2,B,Static,esturu,Retention,0
6,2,B,Static,imtoru,Retention,1
6,2,B,Static,netoru,Retention,1
6,2,B,Static,rotoru,Retention,1
7,1,A,Static,patito,Immediate,1
7,1,A,Static,patira,Immediate,0
7,1,A,Static,patizi,Immediate,1
7,1,A,Static,pacore,Immediate,1
7,1,A,Static,panire,Immediate,1
7,1,A,Static,pahare,Immediate,1
7,1,A,Static,detire,Immediate,1
7,1,A,Static,cotire,Immediate,1
7,1,A,Static,sutire,Immediate,0
7,1,A,Static,socuo,Immediate,1
7,1,A,Static,socuti,Immediate,1
7,1,A,Static,socule,Immediate,1
