Participant,Session,List,Task,Word,Block,Score
3,2,A,Static,soiata,4,0
3,2,A,Static,soiata,5,1
3,2,A,Static,sorta,1,0
3,2,A,Static,sorta,2,1
3,2,A,Static,sorta,3,1
3,2,A,Static,sorta,4,1
3,2,A,Static,sorta,5,1
3,2,A,Static,soetta,1,1
3,2,A,Static,soetta,2,1
3,2,A,Static,soetta,3,1
3,2,A,Static,soetta,4,1
3,2,A,Static,soetta,5,1
3,2,A,Static,ficuta,1,0
3,2,A,Static,ficuta,2,1
3,2,A,Static,ficuta,3,1
3,2,A,Static,ficuta,4,1
3,2,A,Static,ficuta,5,1
3,2,A,Static,scuta,1,1
3,2,A,Static,scuta,2,1
3,2,A,Static,scuta,3,1
3,2,A,Static,scuta,4,1
3,2,A,Static,scuta,5,1
3,2,A,Static,pecuta,1,0
3,2,A,Static,pecuta,2,1
3,2,A,Static,pecuta,3,1
3,2,A,Static,pecuta,4,1
3,2,A,Static,pecuta,5,1
3,2,A,Static,anbera,1,0
3,2,A,Static,anbera,2,1
3,2,A,Static,anbera,3,1
3,2,A,Static,anbera,4,1
3,2,A,Static,anbera,5,1
3,2,A,Static,anbetu,1,0
3,2,A,Static,anbetu,2,1
3,2,A,Static,anbetu,3,1
3,2,A,Static,anbetu,4,1
3,2,A,Static,anbetu,5,1
3,2,A,Static,anbesi,1,1
3,2,A,Static,anbesi,2,1
3,2,A,Static,anbesi,3,1
3,2,A,Static,anbesi,4,1
3,2,A,Static,anbesi,5,1
3,2,A,Static,ancano,1,0
3,2,A,Static,ancano,2,1
3,2,A,Static,ancano,3,1
3,2,A,Static,ancano,4,1
3,2,A,Static,ancano,5,1
3,2,A,Static,andono,1,1
3,2,A,Static,andono,2,0
3,2,A,Static,andono,3,1
3,2,A,Static,andono,4,1
3,2,A,Static,andono,5,1
3,2,A,Static,anuino,1,0
3,2,A,Static,anuino,2,0
3,2,A,Static,anuino,3,1
3,2,A,Static,anuino,4,1
3,2,A,Static,anuino,5,1
3,2,A,Static,rebeno,1,1
3,2,A,Static,rebeno,2,1
3,2,A,Static,rebeno,3,1
3,2,A,Static,rebeno,4,1
3,2,A,Static,rebeno,5,1
3,2,A,Static,sibeno,1,0
3,2,A,Static,sibeno,2,1
3,2,A,Static,sibeno,3,1
3,2,A,Static,sibeno,4,1
3,2,A,Static,sibeno,5,1
3,2,A,Static,cubeno,1,1
3,2,A,Static,cubeno,2,1
3,2,A,Static,cubeno,3,0
3,2,A,Static,cubeno,4,1
3,2,A,Static,cubeno,5,1
3,1,B,Adaptive,chareka,1,0
3,1,B,Adaptive,chareka,2,1
3,1,B,Adaptive,chareka,3,1
3,1,B,Adaptive,chareka,4,1
3,1,B,Adaptive,chareka,5,0
3,1,B,Adaptive,charezo,1,0
3,1,B,Adaptive,charezo,2,1
3,1,B,Adaptive,charezo,3,0
3,1,B,Adaptive,charezo,4,0
3,1,B,Adaptive,charezo,5,0
3,1,B,Adaptive,charete,1,0
3,1,B,Adaptive,charete,2,0
3,1,B,Adaptive,charete,3,1
3,1,B,Adaptive,charete,4,1
3,1,B,Adaptive,charete,5,1
3,1,B,Adaptive,chauri,1,0
3,1,B,Adaptive,chauri,2,0
3,1,B,Adaptive,chauri,3,0
3,1,B,Adaptive,chauri,4,1
3,1,B,Adaptive,chauri,5,1
3,1,B,Adaptive,chakori,1,0
3,1,B,Adaptive,chakori,2,1
3,1,B,Adaptive,chakori,3,0
3,1,B,Adaptive,chakori,4,1
3,1,B,Adaptive,chakori,5,0
3,1,B,Adaptive,chamari,1,0
3,1,B,Adaptive,chamari,2,0
3,1,B,Adaptive,chamari,3,1
3,1,B,Adaptive,chamari,4,1
3,1,B,Adaptive,chamari,5,1
3,1,B,Adaptive,lireri,1,0
3,1,B,Adaptive,lireri,2,0
3,1,B,Adaptive,lireri,3,1
3,1,B,Adaptive,lireri,4,1
3,1,B,Adaptive,lireri,5,1
3,1,B,Adaptive,moreri,1,1
3,1,B,Adaptive,moreri,2,1
3,1,B,Adaptive,moreri,3,1
3,1,B,Adaptive,moreri,4,1
3,1,B,Adaptive,moreri,5,1
3,1,B,Adaptive,apreri,1,0
